Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank
"Euclid Av (A,C)",,B,3174827,3240578,1537226.001,1547409,1740093,#NAME?,#NAME?,#NAME?,#NAME?
"Flatbush Av-Brooklyn College (2,5)",,B,5822873,5684108,2404776.004,2587148,3270806,#NAME?,#NAME?,#NAME?,#NAME?
Flushing Av (G),,B,874498,732897,402100.004,558413,624004,#NAME?,#NAME?,#NAME?,#NAME?
"Flushing Av (J,M)",,B,2537390,2773154,1256788.033,1372156,1480637,#NAME?,#NAME?,#NAME?,#NAME?
Fort Hamilton Pkwy (D),,B,1191580,1207971,614581.06,731471,868470,#NAME?,#NAME?,#NAME?,#NAME?
"Fort Hamilton Pkwy (F,G)",,B,1765887,1800167,633054.99,817620,1155293,#NAME?,#NAME?,#NAME?,#NAME?
Fort Hamilton Pkwy (N),20,B,969878,1372278,780315.934,996284,1344329,#NAME?,#NAME?,#NAME?,#NAME?
"Franklin Av (2,3,4,5)/Botanic Garden (S)",,B,4604219,4999385,1849089.91,2137307,2870917,#NAME?,#NAME?,#NAME?,#NAME?
"Franklin Av (C,S)",,B,2051171,1977940,781551.915,874945,1085731,#NAME?,#NAME?,#NAME?,#NAME?
Fulton St (G),,B,1745439,1768601,743347.029,973973,1322495,#NAME?,#NAME?,#NAME?,#NAME?
"Gates Av (J,Z)",,B,2234908,2249791,957605.989,1125621,1313293,#NAME?,#NAME?,#NAME?,#NAME?
Graham Av (L),,B,3093428,2709511,1039834.021,1492809,1940867,#NAME?,#NAME?,#NAME?,#NAME?
"Grand Army Plaza (2,3)",,B,2228173,2295401,813305.032,984813,1390871,#NAME?,#NAME?,#NAME?,#NAME?
Grand St (L),,B,2126443,1847219,809406.002,1122527,1408122,#NAME?,#NAME?,#NAME?,#NAME?
Grant Av (A),,B,1842974,1749932,802190.037,853610,1028850,#NAME?,#NAME?,#NAME?,#NAME?
Greenpoint Av (G),,B,2859047,3089912,1296681.034,1704159,2092568,#NAME?,#NAME?,#NAME?,#NAME?
Halsey St (J),,B,2059030,2120521,871011.995,950058,1099779,#NAME?,#NAME?,#NAME?,#NAME?
Halsey St (L),,B,2625255,2176141,1005044.97,1327970,1582831,#NAME?,#NAME?,#NAME?,#NAME?
"Hewes St (J,M)",,B,893262,1117566,468382.033,516269,564558,#NAME?,#NAME?,#NAME?,#NAME?
"High St (A,C)",,B,3463611,3536860,1043554.03,1397257,2166149,#NAME?,#NAME?,#NAME?,#NAME?
"Hoyt St (2,3)",,B,1982208,2293256,898642.915,1084836,1397715,#NAME?,#NAME?,#NAME?,#NAME?
"Hoyt-Schermerhorn Sts (A,C,G)",,B,3370038,3605153,1426670.982,1744024,2308619,#NAME?,#NAME?,#NAME?,#NAME?
"Jay St-MetroTech (A,C,F,R)",,B,12504027,12238047,4048254.793,4473920,6436276,#NAME?,#NAME?,#NAME?,#NAME?
Jefferson St (L),,B,2515861,2237997,912845.005,1347227,1766118,#NAME?,#NAME?,#NAME?,#NAME?
Junius St (3),,B,620548,676092,346435.928,364344,446604,#NAME?,#NAME?,#NAME?,#NAME?
"Kings Hwy (B,Q)",,B,5895421,5938819,2588490.978,3187538,3871890,#NAME?,#NAME?,#NAME?,#NAME?
Kings Hwy (F),,B,1356085,1129071,488475.032,510956,637058,#NAME?,#NAME?,#NAME?,#NAME?
Kings Hwy (N),21,B,1032541,1371311,691831.987,897516,1120133,#NAME?,#NAME?,#NAME?,#NAME?
Kingston Av (3),,B,1443692,1472802,620879.969,745263,914558,#NAME?,#NAME?,#NAME?,#NAME?
Kingston-Throop Avs (C),,B,2099891,2055094,791030.008,936706,1265471,#NAME?,#NAME?,#NAME?,#NAME?
Knickerbocker Av (M),22,B,772085,1544093,659854.971,675807,815237,#NAME?,#NAME?,#NAME?,#NAME?
Kosciuszko St (J),,B,1908610,1779062,731319.963,882810,1056675,#NAME?,#NAME?,#NAME?,#NAME?
Lafayette Av (C),,B,1631673,1599887,619691.049,791660,1085680,#NAME?,#NAME?,#NAME?,#NAME?
Liberty Av (C),,B,839241,833633,381651.955,400476,465654,#NAME?,#NAME?,#NAME?,#NAME?
Livonia Av (L),,B,994378,856615,446529.978,394344,529679,#NAME?,#NAME?,#NAME?,#NAME?
"Lorimer St (J,M)",,B,1495068,1747990,716034.97,742682,820290,#NAME?,#NAME?,#NAME?,#NAME?
Lorimer St (L)/Metropolitan Av (G),,B,4821359,4696924,1780896.054,2463789,3409157,#NAME?,#NAME?,#NAME?,#NAME?
"Marcy Av (J,M,Z)",,B,4171666,4717791,1816257.974,2028980,2540327,#NAME?,#NAME?,#NAME?,#NAME?
Montrose Av (L),,B,2239760,1933886,828023.025,1221841,1520566,#NAME?,#NAME?,#NAME?,#NAME?
Morgan Av (L),,B,2465927,2100475,866006.993,1234325,1569277,#NAME?,#NAME?,#NAME?,#NAME?
"Myrtle Av (J,M,Z)",,B,3789470,3854024,1563366.016,1734324,2135172,#NAME?,#NAME?,#NAME?,#NAME?
Myrtle-Willoughby Avs (G),,B,1768122,1820637,789214.014,957769,1190174,#NAME?,#NAME?,#NAME?,#NAME?
"Myrtle-Wyckoff Avs (L,M)",,B,6893183,5927332,2704645.04,3318793,4276355,#NAME?,#NAME?,#NAME?,#NAME?
Nassau Av (G),,B,2880235,3136229,1186205.958,1522386,1942189,#NAME?,#NAME?,#NAME?,#NAME?
Neck Rd (Q),,B,1366989,1362524,573447.985,655522,826571,#NAME?,#NAME?,#NAME?,#NAME?
Neptune Av (F),,B,433083,428163,185099.075,211247,288867,#NAME?,#NAME?,#NAME?,#NAME?
"Nevins St (2,3,4,5)",,B,3215723,3150597,1189272.847,1309465,1760370,#NAME?,#NAME?,#NAME?,#NAME?
New Lots Av (3),,B,1644379,1643487,800943.102,821266,934273,#NAME?,#NAME?,#NAME?,#NAME?
New Lots Av (L),,B,1499170,1254351,606924.959,655706,709206,#NAME?,#NAME?,#NAME?,#NAME?
New Utrecht Av (N)/62 St (D),23,B,1503742,1501183,718495.846,898154,1076361,#NAME?,#NAME?,#NAME?,#NAME?
"Newkirk Av (2,5)",,B,2221270,2131839,1021788.963,1142138,1358530,#NAME?,#NAME?,#NAME?,#NAME?
"Newkirk Plaza (B,Q)",,B,3258207,3252504,1356510.035,1689443,2021403,#NAME?,#NAME?,#NAME?,#NAME?
"Norwood Av (J,Z)",,B,966728,948571,454456.953,472565,500597,#NAME?,#NAME?,#NAME?,#NAME?
Nostrand Av (3),,B,1250715,1370372,512753.018,603014,745179,#NAME?,#NAME?,#NAME?,#NAME?
"Nostrand Av (A,C)",,B,5609408,5608232,2150476.062,2617531,3346986,#NAME?,#NAME?,#NAME?,#NAME?
